Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
ARKG,54.165,2020/07/14,11:18 EDT,-0.36499786,54.18,55.5121,52.92,422238,20200526,48.2101,52.0,,,,
ARKW,92.0981,2020/07/14,11:18 EDT,-1.1418991,92.5,94.2972,89.53,713818,20200416,59.87,8.0,,,,
ARKW,92.0981,2020/07/14,11:18 EDT,-1.1418991,92.5,94.2972,89.53,713818,20200420,62.82,88.0,,,,
ARKW,92.0981,2020/07/14,11:18 EDT,-1.1418991,92.5,94.2972,89.53,713818,20200513,68.17,16.0,,,,
ARKW,92.0981,2020/07/14,11:18 EDT,-1.1418991,92.5,94.2972,89.53,713818,20200611,79.5699,34.0,,,,
XSD,115.02,2020/07/14,11:14 EDT,-0.060005188,114.06,115.19,112.84,25967,20200416,92.26,5.0,,,,
XSD,115.02,2020/07/14,11:14 EDT,-0.060005188,114.06,115.19,112.84,25967,20200420,93.79,34.0,,,,
XSD,115.02,2020/07/14,11:14 EDT,-0.060005188,114.06,115.19,112.84,25967,20200513,96.025,7.0,,,,
FBND,54.45,2020/07/14,11:17 EDT,0.15000153,54.39,54.48,54.38,46140,20200416,53.2,2.0,,,,
FBND,54.45,2020/07/14,11:17 EDT,0.15000153,54.39,54.48,54.38,46140,20200420,53.08,17.0,,,,
FBND,54.45,2020/07/14,11:17 EDT,0.15000153,54.39,54.48,54.38,46140,20200513,52.7099,5.0,,,,
FBND,54.45,2020/07/14,11:17 EDT,0.15000153,54.39,54.48,54.38,46140,20200526,53.3974,3.0,,,,
FBND,54.45,2020/07/14,11:17 EDT,0.15000153,54.39,54.48,54.38,46140,20200611,53.96,2.0,,,,
VGT,280.12,2020/07/14,11:17 EDT,-1.5299988,279.37,282.88,276.14,499532,20200416,228.74,4.0,,,,
VGT,280.12,2020/07/14,11:17 EDT,-1.5299988,279.37,282.88,276.14,499532,20200420,234.895,14.0,,,,
VGT,280.12,2020/07/14,11:17 EDT,-1.5299988,279.37,282.88,276.14,499532,20200513,240.68,3.0,,,,
VGT,280.12,2020/07/14,11:17 EDT,-1.5299988,279.37,282.88,276.14,499532,20200526,257.88,1.0,,,,
VGT,280.12,2020/07/14,11:17 EDT,-1.5299988,279.37,282.88,276.14,499532,20200611,271.63,1.0,,,,
ARKK,77.1063,2020/07/14,11:17 EDT,-1.033699,78.1,79.5,75.01,1177778,20200416,49.92,38.0,,,,
ARKK,77.1063,2020/07/14,11:17 EDT,-1.033699,78.1,79.5,75.01,1177778,20200420,53.1784,276.0,,,,
ARKK,77.1063,2020/07/14,11:17 EDT,-1.033699,78.1,79.5,75.01,1177778,20200513,55.65,54.0,,,,
ARKK,77.1063,2020/07/14,11:17 EDT,-1.033699,78.1,79.5,75.01,1177778,20200713,78.25,20.0,,,,
